"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"50","May 2022",3019024897,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,503,503,0,0,"--","--","--","--","--","--","--","--",160,176,0,480,160,160,0,"--",59,219,217,8,44,414,5,30,"n/a",7,30,1,21,479,3,265,238,0,0,256,240,7,480,98,469,209,85,0,4,12,67
"51","May 2022",3019024901,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,449,449,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",140,213,94,2,55,327,12,43,"n/a",5,43,6,24,415,10,277,172,0,0,283,161,5,446,143,434,217,4,0,0,0,3
"52","May 2022",3019073000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,372,372,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,0,0,"--",22,116,228,6,14,348,2,6,"n/a",0,6,2,5,362,5,199,173,0,0,144,228,0,331,55,314,104,154,0,2,8,142
"53","May 2022",3019073690,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1193,1193,0,0,"--","--","--","--","--","--","--","--",160,640,160,1760,960,960,0,"--",92,442,631,28,83,1082,3,16,"n/a",3,16,6,16,1170,7,708,485,0,0,463,718,12,1038,238,1074,538,161,0,11,30,115
"54","May 2022",3019073940,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1512,1511,1,0,"--","--","--","--","--","--","--","--",160,496,0,960,640,480,0,"--",227,749,523,9,562,849,13,65,"n/a",2,65,15,59,1434,15,962,546,0,0,832,649,31,1281,347,1466,759,318,0,17,27,258
"55","May 2022",3019074770,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1154,1154,0,0,"--","--","--","--","--","--","--","--",0,320,0,816,496,320,0,"--",215,551,379,10,498,491,82,77,"n/a",6,77,0,39,1103,13,733,422,0,0,655,482,17,1075,288,1098,526,411,1,11,26,349
"56","May 2022",3019074880,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,434,434,0,0,"--","--","--","--","--","--","--","--",0,0,0,240,416,160,0,"--",76,223,131,4,164,177,21,69,"n/a",1,69,2,59,371,4,239,195,0,0,235,187,12,410,101,431,196,97,0,3,3,84
"57","May 2022",3019078330,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,564,564,0,0,"--","--","--","--","--","--","--","--",160,16,0,608,320,160,0,"--",128,298,129,9,144,353,10,47,"n/a",3,47,7,33,522,9,347,217,0,0,349,209,6,549,100,549,244,96,0,3,4,83
"58","May 2022",3019083900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1772,1771,1,0,"--","--","--","--","--","--","--","--",160,0,160,1072,1360,160,0,"--",361,721,673,16,246,1154,201,132,"n/a",8,132,29,95,1644,32,1018,753,0,0,1000,734,38,1627,544,1667,526,463,0,7,29,417
"59","May 2022",3019083950,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,639,639,0,0,"--","--","--","--","--","--","--","--",0,128,0,480,288,160,0,"--",121,324,191,3,139,448,7,33,"n/a",1,33,9,34,601,4,411,228,0,0,374,247,18,594,129,611,296,164,0,2,14,140
"60","May 2022",3019084000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,1925,1924,1,0,"--","--","--","--","--","--","--","--",160,64,160,480,160,320,0,"--",323,898,673,31,272,1475,37,103,"n/a",7,103,28,103,1790,32,1100,825,0,0,1051,843,31,1876,448,1791,783,0,0,0,0,0
"61","May 2022",3019086630,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,505,503,2,0,"--","--","--","--","--","--","--","--",0,0,0,176,416,0,0,"--",210,229,64,2,292,142,16,49,"n/a",3,49,3,21,479,5,365,140,0,0,377,115,13,466,103,485,238,115,0,3,9,99
"62","May 2022",3019090090,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,447,442,5,0,"--","--","--","--","--","--","--","--",160,0,0,320,272,0,0,"--",92,189,161,5,28,390,6,19,"n/a",0,19,4,15,428,4,306,141,0,0,216,218,13,417,116,428,189,0,0,0,0,0
"63","May 2022",3019091030,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,303,303,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,160,0,0,"--",51,160,91,1,12,265,9,16,"n/a",0,16,1,19,283,1,154,149,0,0,185,109,9,301,40,302,134,20,0,5,2,11
"64","May 2022",3019091900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,251,247,4,0,"--","--","--","--","--","--","--","--",0,0,0,480,176,0,0,"--",35,119,96,1,51,177,8,14,"n/a",0,14,1,8,238,5,162,89,0,0,137,110,4,239,54,243,106,0,0,0,0,0
"65","May 2022",3019097350,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site","No","No","N/A","No","N/A",633,633,0,0,"--","--","--","--","--","--","--","--",160,640,0,1120,480,800,0,"--",171,384,78,0,56,527,9,35,"n/a",3,35,3,23,603,7,343,290,0,0,499,117,17,616,97,620,261,0,0,0,0,0
"66","May 2022",3039000021,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,52,52,0,0,"--","--","--","--","--","--","--","--",0,0,0,1280,1296,0,160,"--",18,30,4,0,36,16,0,0,"n/a",0,0,0,2,50,0,44,8,0,0,22,13,17,0,0,0,0,0,0,0,0,0
"67","May 2022",3039000022,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,393,393,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",120,174,98,1,369,8,0,14,"n/a",0,14,2,6,384,3,305,88,0,0,210,175,8,370,136,377,212,162,2,9,16,120
"68","May 2022",3039000049,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,226,226,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",133,76,17,0,78,108,14,22,"n/a",2,22,2,11,212,3,161,65,0,0,183,40,3,159,36,199,74,66,0,2,1,60
"69","May 2022",3039000057,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1489,1489,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,1280,160,0,"--",300,700,468,26,1148,285,9,44,"n/a",2,44,3,33,1452,9,726,768,0,0,259,978,252,389,112,390,171,637,40,20,37,422
"70","May 2022",3039000112,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,435,435,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,320,160,0,"--",128,194,110,3,106,126,139,42,"n/a",1,42,20,43,357,35,295,140,0,0,303,128,4,415,95,399,127,0,0,0,0,0
"71","May 2022",3039000124,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,260,260,0,0,"--","--","--","--","--","--","--","--",160,0,0,320,160,0,0,"--",146,88,26,0,80,104,39,29,"n/a",0,29,7,18,233,9,187,73,0,0,212,41,7,218,60,256,104,4,0,1,1,1
"72","May 2022",3039000134,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,477,477,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,320,160,0,"--",123,201,149,4,111,272,36,53,"n/a",0,53,5,28,441,8,327,150,0,0,271,183,23,454,117,454,186,144,0,4,9,128
"73","May 2022",3039000166,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,253,252,1,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",70,126,56,1,225,18,0,10,"n/a",0,10,0,10,242,1,141,112,0,0,114,130,9,246,77,251,133,32,1,3,8,10
"74","May 2022",3039000181,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,233,233,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",73,95,61,4,20,148,26,32,"n/a",0,32,6,12,211,10,109,124,0,0,150,75,8,206,20,206,56,9,0,0,1,8
"75","May 2022",3039024730,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,957,953,4,0,"--","--","--","--","--","--","--","--",0,0,160,480,480,160,0,"--",213,471,264,9,115,616,39,153,"n/a",1,153,32,57,862,38,490,467,0,0,600,336,21,750,252,758,256,0,0,0,0,0
"76","May 2022",3039024764,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,448,447,1,0,"--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,"--",323,112,13,0,259,147,16,24,"n/a",0,24,2,27,419,2,238,210,0,0,374,54,20,437,114,430,154,4,0,0,1,3
"77","May 2022",3049000033,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,285,285,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",23,109,147,7,142,138,0,0,"n/a",2,0,4,0,285,1,172,114,0,0,78,198,9,256,123,206,104,61,0,2,11,41
"78","May 2022",3049000048,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,327,327,0,0,"--","--","--","--","--","--","--","--",0,160,0,160,160,160,0,"--",80,147,99,1,130,175,4,11,"n/a",1,11,3,4,319,4,193,134,0,0,144,179,4,249,57,248,129,43,0,3,5,35
"79","May 2022",3049000051,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,343,343,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",25,85,216,17,77,245,1,3,"n/a",0,3,17,0,342,1,196,147,0,0,69,265,9,264,97,251,87,46,0,2,13,29
"80","May 2022",3049000058,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,721,721,0,0,"--","--","--","--","--","--","--","--",0,160,0,480,320,480,0,"--",229,355,133,4,351,336,10,18,"n/a",1,18,4,15,703,3,462,259,0,0,283,401,37,684,272,643,362,58,0,5,15,21
"81","May 2022",3049000066,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,257,257,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",50,139,68,0,106,144,0,6,"n/a",0,6,0,5,252,0,151,106,0,0,86,157,14,193,54,178,95,33,0,3,8,21
"82","May 2022",3049025340,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,0,0,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",0,0,0,0,0,0,0,0,"n/a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","May 2022",3019075490,NA,2,"Medical Group","Primary Adult","TOTAL: 36","Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,631,631,0,0,"--","--","--","--","--","--","--","--",160,272,128,576,320,640,0,"--",180,288,156,7,198,350,33,45,"n/a",1,45,4,39,588,4,336,295,0,0,405,217,9,605,131,615,296,42,0,2,6,33
"84","May 2022",3019020300,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,968,961,7,0,"--","--","--","--","--","--","--","--",0,256,0,480,496,0,0,"--",133,364,437,34,357,547,15,42,"n/a",3,42,4,38,920,10,674,294,0,0,404,549,15,834,232,917,437,192,0,15,19,150
"85","May 2022",3019073200,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,560,560,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,416,160,0,"--",34,184,322,19,50,481,10,17,"n/a",0,17,1,10,545,4,336,223,0,0,203,354,3,529,159,521,206,154,0,7,21,123
"86","May 2022",3019073510,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2365,2364,1,0,"--","--","--","--","--","--","--","--",160,144,144,1536,1120,800,0,"--",255,784,1245,80,322,1894,46,88,"n/a",5,88,6,72,2276,16,1357,1007,0,0,888,1444,33,2193,498,2143,840,325,0,16,34,258
"87","May 2022",3019074460,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,3105,3104,1,0,"--","--","--","--","--","--","--","--",160,320,0,2384,1520,960,0,"--",361,1484,1220,40,1110,1789,40,135,"n/a",12,135,14,107,2966,32,1907,1198,0,0,1473,1579,53,2828,916,2976,1590,629,2,26,65,505
"88","May 2022",3019074550,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,314,314,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,336,320,0,"--",27,161,118,8,219,71,4,16,"n/a",0,16,4,12,299,3,244,70,0,0,161,149,4,306,65,306,144,72,0,0,8,61
"89","May 2022",3019075400,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,543,543,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,480,160,0,"--",115,250,172,6,69,352,59,54,"n/a",1,54,7,28,507,8,296,247,0,0,335,197,11,506,115,527,194,111,0,5,11,94
"90","May 2022",3019087160,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2038,2036,2,0,"--","--","--","--","--","--","--","--",160,128,0,1184,1216,800,0,"--",394,994,625,25,417,1403,62,130,"n/a",5,130,16,120,1900,18,1319,719,0,0,1257,745,36,1915,338,1899,816,0,0,0,0,0
"91","May 2022",3039024947,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,279,279,0,0,"--","--","--","--","--","--","--","--",0,160,0,480,160,0,0,"--",17,111,144,6,171,105,0,2,"n/a",0,2,0,2,276,0,132,146,0,0,83,190,6,266,87,260,117,99,0,13,20,52
"92","May 2022",3049000061,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,288,288,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",67,134,85,2,142,136,1,8,"n/a",0,8,0,7,277,4,240,48,0,0,122,156,10,275,87,274,157,0,0,0,0,0
"93","June 2022",3019024088,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1220,1220,0,0,"--","--","--","--","--","--","--","--",0,0,160,640,710,640,0,"--",367,573,269,11,556,462,67,1,"n/a",2,117,15,82,1120,18,768,452,0,0,808,390,22,1046,306,1021,457,1,0,0,0,1
"94","June 2022",3019024401,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,708,708,0,0,"--","--","--","--","--","--","--","--",0,480,0,640,160,160,0,"--",85,315,297,11,60,618,3,1,"n/a",1,21,4,20,680,8,405,303,0,0,335,363,10,622,204,677,331,0,0,0,0,0
"95","June 2022",3019024893,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1272,1259,13,0,"--","--","--","--","--","--","--","--",160,96,0,800,624,160,0,"--",286,609,367,8,65,1101,24,0,"n/a",4,71,5,88,1161,21,648,622,0,0,784,434,54,1187,278,1193,457,38,0,4,9,23
"96","June 2022",3019024897,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,564,564,0,0,"--","--","--","--","--","--","--","--",160,176,0,480,160,160,0,"--",97,243,219,5,48,469,12,0,"n/a",1,26,8,23,532,9,302,262,0,0,293,262,9,537,105,522,205,98,1,3,8,85
"97","June 2022",3019024901,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,418,418,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",143,202,73,0,56,324,1,1,"n/a",1,31,4,28,385,5,269,149,0,0,270,143,5,404,130,409,218,7,0,0,2,3
"98","June 2022",3019073000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,491,491,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",27,197,259,8,37,434,2,0,"n/a",0,14,4,7,483,1,261,230,0,0,219,268,4,372,46,339,118,199,0,4,4,188
"99","June 2022",3019073690,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1100,1092,8,0,"--","--","--","--","--","--","--","--",160,784,160,1760,960,960,0,"--",75,406,601,18,76,997,3,1,"n/a",2,19,2,17,1080,3,657,443,0,0,411,674,15,961,235,992,468,175,0,6,36,119
"100","June 2022",3019073940,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1530,1530,0,0,"--","--","--","--","--","--","--","--",160,496,0,960,640,480,0,"--",218,742,554,14,568,860,9,0,"n/a",2,70,19,54,1454,20,986,542,0,0,820,688,22,1297,305,1474,767,295,1,13,37,229
"101","June 2022",3019074770,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1234,1234,0,0,"--","--","--","--","--","--","--","--",0,320,0,816,496,320,0,"--",235,570,414,16,533,515,64,1,"n/a",3,111,8,60,1156,19,808,427,0,0,689,528,17,1148,319,1174,569,319,2,11,29,261
"102","June 2022",3019074880,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,481,481,0,0,"--","--","--","--","--","--","--","--",0,0,0,240,416,160,0,"--",74,273,129,5,206,182,15,2,"n/a",3,67,6,55,420,6,282,199,0,0,267,198,16,452,113,480,242,104,0,4,5,91
"103","June 2022",3019078330,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,549,549,0,0,"--","--","--","--","--","--","--","--",160,16,0,608,320,160,0,"--",113,294,141,1,152,340,9,0,"n/a",7,37,4,28,511,10,350,199,0,0,333,208,8,534,78,531,248,99,0,3,5,89
"104","June 2022",3019083900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1530,1529,1,0,"--","--","--","--","--","--","--","--",160,0,160,1072,1360,160,0,"--",291,611,611,17,217,981,181,1,"n/a",4,126,20,75,1430,25,921,609,0,0,840,658,32,1350,415,1411,446,405,0,13,32,347
"105","June 2022",3019083950,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,574,574,0,0,"--","--","--","--","--","--","--","--",0,128,0,480,288,160,0,"--",152,353,170,3,133,497,10,0,"n/a",4,26,8,25,645,8,431,247,0,0,434,233,11,629,125,652,346,173,0,7,10,143
"106","June 2022",3019084000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,1798,1798,0,0,"--","--","--","--","--","--","--","--",160,64,160,480,160,320,0,"--",273,838,658,29,229,1415,33,0,"n/a",11,92,18,71,1708,19,1033,765,0,0,964,813,21,1709,364,1626,762,0,0,0,0,0
"107","June 2022",3019086630,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,590,590,0,0,"--","--","--","--","--","--","--","--",0,0,0,176,416,0,0,"--",217,266,106,1,344,157,16,0,"n/a",0,69,3,27,552,11,407,183,0,0,424,159,7,539,95,558,276,111,0,8,17,78
"108","June 2022",3019090090,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,443,437,6,0,"--","--","--","--","--","--","--","--",160,0,0,320,272,0,0,"--",89,188,164,2,28,395,2,1,"n/a",0,15,2,19,422,2,307,136,0,0,230,208,5,409,115,422,189,0,0,0,0,0
"109","June 2022",3019091030,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,308,308,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,160,0,0,"--",38,164,105,1,25,248,12,0,"n/a",0,20,3,21,286,1,171,137,0,0,176,125,7,303,47,303,146,32,0,3,2,25
"110","June 2022",3019091900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,763,763,0,0,"--","--","--","--","--","--","--","--",0,0,0,480,176,0,0,"--",38,168,104,3,56,226,6,0,"n/a",2,21,2,15,295,3,215,98,0,0,179,132,2,280,51,301,123,0,0,0,0,0
