"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column AB, AC, AD)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0","Number of Patients with HGB A1C equal 9.0 in unit/month collected"
"39",2022-05-01,"Primary Clinic #19","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","848",792,53,3,48,82.6,0,1220.33,507.361103166667,293.09,955.75,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,287,385,169,7,94,660,50,"0","0",3,22,10,19,810,19,19,848,279,0,"Unavailable at UM",473,378,4,677,65,618,260,238,5,13,15,205,"0"
"40",2022-05-01,"Primary Clinic #20","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","782",741,38,3,163.75,102,0,750.65,513.680548333333,147.8,39.9,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,284,375,122,1,81,537,69,"0","0",3,18,10,32,716,32,32,780,267,0,"Unavailable at UM",367,404,5,526,34,487,192,214,3,7,12,192,"0"
"41",2022-06-01,"Primary Clinic #1","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1498",1352,133,13,433.5,163,0,1697.73,629.05554725,125.6,940.1,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,288,705,478,27,192,1167,62,"0","3",7,36,12,59,1362,59,75,1497,545,0,"Unavailable at UM",621,878,4,1090,163,963,394,437,12,17,26,382,"0"
"42",2022-06-01,"Primary Clinic #2","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","2048",1847,193,8,573.17,0,221.63,1160.98,808.166659083333,148,1533.44,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,351,875,800,22,25,1967,9,"0","0",8,18,19,38,1919,38,91,2048,819,0,"Unavailable at UM",802,1224,9,1439,128,1327,552,540,13,22,48,456,"1"
"43",2022-06-01,"Primary Clinic #3","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1416",1297,115,4,129,96,45.86,1727.6,541.847210666667,278.33,1910.15,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,208,670,518,20,157,1096,61,"0","0",7,36,18,40,1337,40,38,1415,582,0,"Unavailable at UM",638,764,10,1146,176,1059,472,429,6,20,42,357,"4"
"44",2022-06-01,"Primary Clinic #4","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1266",1182,75,9,270.5,122,0,536.5,569.652769833333,330.8,2399.65,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,213,564,473,16,133,908,115,"0","1",8,39,15,32,1190,32,39,1262,537,0,"Unavailable at UM",469,785,1,916,159,867,288,353,13,14,24,302,"0"
"45",2022-06-01,"Primary Clinic #5","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1015",919,90,6,240,0,83.42,2192.1,370.138880583333,0,0,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,238,455,298,24,106,807,47,"0","0",5,20,9,21,968,21,24,1013,388,0,"Unavailable at UM",494,513,3,743,112,705,270,236,5,9,17,205,"0"
"46",2022-06-01,"Primary Clinic #6","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1164",1085,70,9,536.985,144,0,2912,493.819441916667,154.115,1101.6,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,353,524,282,5,47,1004,32,"0","1",8,21,7,36,1080,36,41,1160,431,0,"Unavailable at UM",586,548,10,837,109,781,324,297,13,12,17,255,"0"
"47",2022-06-01,"Primary Clinic #7","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1579",1425,148,6,165,0,68.25,1223,939.611083666667,426.5,783.1,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,430,601,523,25,250,1125,85,"0","0",10,45,11,55,1492,55,29,1578,759,0,"Unavailable at UM",505,1055,18,1321,254,1246,463,399,16,18,35,330,"0"
"48",2022-06-01,"Primary Clinic #8","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1620",1427,180,13,593.84,300,0,2259,690.805551583333,44,0,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,318,671,609,22,84,1409,43,"0","0",4,17,16,35,1442,35,135,1615,632,0,"Unavailable at UM",642,951,11,1252,181,1190,442,411,5,9,25,372,"0"
"49",2022-06-01,"Primary Clinic #9","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","2387",2242,128,17,552.25,0,509.71,2799,640.069437583333,177.5,991.2,0,966.13,"Unavailable at UM","Unavailable at UM",4162.4,"Unavailable at UM",4162.4,4162.4,0,833,1096,449,9,365,1709,106,"0","1",12,63,30,125,2178,125,83,2386,828,0,"Unavailable at UM",1093,1285,30,1666,158,1559,652,552,14,17,35,485,"1"
"50",2022-06-01,"Primary Clinic #10","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","2477",2341,131,5,737.82,508,132.89,4181,851.319427833333,341,2131.5,0,966.13,"Unavailable at UM","Unavailable at UM",4162.4,"Unavailable at UM",4162.4,4162.4,0,638,1040,757,42,58,2347,12,"0","2",14,21,13,54,2346,54,72,2474,961,1,"Unavailable at UM",996,1450,28,1988,161,1937,900,501,19,27,50,403,"2"
"51",2022-06-01,"Primary Clinic #11","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1606",1512,89,5,266.25,264,97.14,2194.24,608.652773083333,178,745.93,0,966.13,"Unavailable at UM","Unavailable at UM",4162.4,"Unavailable at UM",4162.4,4162.4,0,467,762,359,18,24,1496,33,"0","0",8,14,19,45,1513,45,45,1605,621,0,"Unavailable at UM",792,800,20,1217,93,1117,415,302,9,12,22,257,"2"
"52",2022-06-01,"Primary Clinic #12","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1191",1112,62,17,544.25,0,0,3280,545.819438666667,152,1216.98,0,966.13,"Unavailable at UM","Unavailable at UM",4162.4,"Unavailable at UM",4162.4,4162.4,0,322,598,0,7,103,883,79,"0","0",12,35,6,29,1134,29,27,1191,464,0,"Unavailable at UM",568,580,36,840,64,769,267,295,12,12,18,252,"1"
"53",2022-06-01,"Primary Clinic #13","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1731",1627,82,22,306.08,142.4,58.86,2274,683.944438666667,0,906.8,0,966.13,"Unavailable at UM","Unavailable at UM",4162.4,"Unavailable at UM",4162.4,4162.4,0,609,777,336,9,252,1101,88,"0","2",6,68,16,78,1631,78,18,1727,650,0,"Unavailable at UM",950,739,36,1038,65,984,404,376,11,12,29,323,"1"
"54",2022-06-01,"Primary Clinic #14","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1568",1521,45,2,546.5,0,53.44,2868,571.72915475,145,681.36,0,966.13,"Unavailable at UM","Unavailable at UM",4162.4,"Unavailable at UM",4162.4,4162.4,0,740,616,210,2,636,710,31,"0","1",11,43,13,173,1367,173,23,1564,483,0,"Unavailable at UM",535,924,83,1067,224,1061,544,360,19,12,26,302,"1"
"55",2022-06-01,"Primary Clinic #15","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","1059",830,179,50,571.268,0,0,0,395.95833225,0,852.35,0,610.13,"Unavailable at UM","Unavailable at UM",1171.73,"Unavailable at UM",1171.73,1171.73,0,1,16,909,133,127,839,31,"0","0",3,18,8,14,1005,14,39,1058,363,0,"Unavailable at UM",33,1029,5,741,189,620,192,221,4,12,23,182,"0"
"56",2022-06-01,"Primary Clinic #16","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","174",137,36,1,100.812,0,0,0,74.2083333333333,0,0,0,610.13,"Unavailable at UM","Unavailable at UM",1171.73,"Unavailable at UM",1171.73,1171.73,0,0,2,142,30,14,149,6,"0","0",0,2,1,3,168,3,3,174,54,0,"Unavailable at UM",10,165,0,142,52,130,40,30,1,0,5,24,"0"
"57",2022-06-01,"Primary Clinic #17","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","13",11,2,0,0,0,0,9,8.125,0,0,0,610.13,"Unavailable at UM","Unavailable at UM",1171.73,"Unavailable at UM",1171.73,1171.73,0,0,1,11,1,0,9,2,"0","0",0,0,0,0,13,0,0,13,5,0,"Unavailable at UM",1,12,0,8,1,8,0,2,0,0,0,2,"0"
"58",2022-06-01,"Primary Clinic #18","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2022-06-01,"Primary Clinic #19","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","862",821,35,6,112,88,0,1245.4,479.916660166667,308,0,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,277,408,171,6,119,634,44,"0","1",5,14,4,31,814,31,16,861,300,0,"Unavailable at UM",489,375,3,689,72,640,270,230,8,5,23,193,"1"
"60",2022-06-01,"Primary Clinic #20","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"262.62",1,"367.32","773",742,29,2,136.5,122,0,737,485.874994583333,169,0,0,627.35,"Unavailable at UM","Unavailable at UM",3209.6,"Unavailable at UM",3209.6,3209.6,0,286,368,114,5,81,530,78,"0","0",2,16,11,26,717,26,28,771,264,0,"Unavailable at UM",358,405,4,540,29,523,185,208,2,8,12,186,"0"
"61",2022-07-01,"Primary Clinic #1","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1690",1503,165,22,431.5,93,0,1803.48,808.347216083333,140.8,1243.35,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,356,776,540,18,192,1292,81,"0","0",7,32,11,57,1549,57,78,1686,609,0,"Unavailable at UM",695,999,13,1331,195,1210,431,454,9,24,36,383,"2"
"62",2022-07-01,"Primary Clinic #2","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1541",1375,156,10,290.18,0,209.81,823.3,573.263880583333,0,282.85,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,214,672,637,18,22,1464,9,"0","2",8,12,9,23,1457,23,60,1541,645,0,"Unavailable at UM",634,895,2,1146,99,1067,437,496,18,21,63,390,"4"
"63",2022-07-01,"Primary Clinic #3","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1579",1413,163,3,108,120,45.86,0,719.5138795,208.5,906.5,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,246,736,560,37,146,1253,68,"0","0",6,38,14,36,1501,36,38,1575,657,0,"Unavailable at UM",695,872,3,1298,174,1222,532,466,12,20,48,386,"0"
"64",2022-07-01,"Primary Clinic #4","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1224",1148,71,5,267.5,26,1.08,473.7,541.48610425,218.6,55.45,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,198,563,453,10,138,848,119,"0","0",7,47,10,32,1125,32,63,1220,568,2,"Unavailable at UM",501,718,4,890,132,829,293,325,7,9,35,274,"0"
"65",2022-07-01,"Primary Clinic #5","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","975",854,112,9,128,0,51.64,1953.8,431.166663416667,0,0,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,204,459,297,15,95,762,56,"0","0",4,15,9,24,923,24,27,974,389,0,"Unavailable at UM",495,478,2,745,118,708,283,249,6,11,26,206,"0"
"66",2022-07-01,"Primary Clinic #6","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1152",1080,66,6,400.07,120,0,2779,540.222220416667,118.365,1816.59,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,349,508,278,17,41,1011,49,"0","0",7,26,6,32,1078,32,35,1148,457,0,"Unavailable at UM",569,563,16,867,130,809,304,331,9,16,19,287,"0"
"67",2022-07-01,"Primary Clinic #7","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1477",1370,96,11,126.57,0,76.01,1210,886.256919166667,389.5,913.1,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,397,569,499,12,214,1065,70,"0","0",17,36,9,60,1367,60,40,1471,729,1,"Unavailable at UM",507,952,14,1230,230,1154,415,334,10,13,33,277,"1"
"68",2022-07-01,"Primary Clinic #8","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1692",1451,224,17,584.08,274,0,2132,715.993052666667,0,0,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,348,654,668,22,79,1481,43,"0","0",6,26,19,44,1522,44,123,1692,679,0,"Unavailable at UM",685,982,11,1284,158,1209,429,447,10,17,31,389,"0"
"69",2022-07-01,"Primary Clinic #9","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1880",1788,88,4,504.66,0,412.03,2308,451.027770916667,8,1068.1,0,971.2,"Unavailable at UM","Unavailable at UM",3954.93,"Unavailable at UM",3954.93,3954.93,0,694,863,317,6,283,1323,100,"0","1",13,61,15,105,1715,105,53,1876,712,0,"Unavailable at UM",918,934,38,1372,104,1312,522,431,17,11,35,367,"1"
"70",2022-07-01,"Primary Clinic #10","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","2111",1997,109,5,630.17,664,122.06,3527,744.701375166667,259.5,2965.5,0,971.2,"Unavailable at UM","Unavailable at UM",3954.93,"Unavailable at UM",3954.93,3954.93,0,540,845,690,36,58,1998,11,"0","0",12,24,13,50,1983,50,75,2111,843,0,"Unavailable at UM",836,1253,21,1692,168,1609,751,430,19,21,42,348,"0"
"71",2022-07-01,"Primary Clinic #11","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1276",1210,62,4,231.75,244,45.5,2085,461.590270916667,86,1051.26,0,971.2,"Unavailable at UM","Unavailable at UM",3954.93,"Unavailable at UM",3954.93,3954.93,0,401,569,298,8,27,1187,20,"0","3",3,19,8,37,1204,37,32,1273,473,0,"Unavailable at UM",653,609,16,978,62,917,355,237,6,6,17,208,"0"
"72",2022-07-01,"Primary Clinic #12","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1236",1173,51,12,592.25,0,0,2963,573.263883833333,143,1445.85,0,971.2,"Unavailable at UM","Unavailable at UM",3954.93,"Unavailable at UM",3954.93,3954.93,0,345,602,287,2,104,891,89,"0","0",8,32,11,31,1167,31,31,1231,489,0,"Unavailable at UM",564,623,44,834,72,741,267,293,8,6,17,262,"0"
"73",2022-07-01,"Primary Clinic #13","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1381",1296,64,21,244.58,131.2,37.92,2277,516.749995666667,0,1321.45,0,971.2,"Unavailable at UM","Unavailable at UM",3954.93,"Unavailable at UM",3954.93,3954.93,0,476,615,282,8,189,896,68,"0","1",9,46,12,84,1273,84,21,1378,512,1,"Unavailable at UM",737,628,25,904,58,853,336,289,11,10,22,246,"0"
"74",2022-07-01,"Primary Clinic #14","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1416",1380,36,0,453.55,0,57.78,2855,535.25693325,156,1173.53,0,971.2,"Unavailable at UM","Unavailable at UM",3954.93,"Unavailable at UM",3954.93,3954.93,0,621,604,189,2,604,646,22,"0","1",11,39,11,158,1230,158,24,1413,468,0,"Unavailable at UM",507,817,75,1009,192,984,530,344,17,14,33,280,"0"
"75",2022-07-01,"Primary Clinic #15","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","1109",829,201,79,451.588,0,0,0,412.749998916667,0,1317.25,0,620.27,"Unavailable at UM","Unavailable at UM",1188.8,"Unavailable at UM",1188.8,1188.8,0,0,23,940,146,131,846,55,"0","2",2,33,10,16,1060,16,31,1108,414,0,"Unavailable at UM",47,1068,1,780,178,685,215,249,4,9,33,201,"2"
"76",2022-07-01,"Primary Clinic #16","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","236",161,75,0,79.692,0,0,0,112.666666666667,0,0,0,620.27,"Unavailable at UM","Unavailable at UM",1188.8,"Unavailable at UM",1188.8,1188.8,0,0,2,202,32,13,200,11,"0","0",0,2,3,3,227,3,6,236,73,0,"Unavailable at UM",8,231,0,203,65,189,62,34,0,6,4,24,"0"
"77",2022-07-01,"Primary Clinic #17","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","45",39,6,0,0,0,0,9,30.3333333333333,0,0,0,620.27,"Unavailable at UM","Unavailable at UM",1188.8,"Unavailable at UM",1188.8,1188.8,0,0,0,38,7,2,31,7,"0","0",0,3,1,3,42,3,0,45,19,0,"Unavailable at UM",0,45,0,40,9,40,10,18,0,1,1,16,"0"
"78",2022-07-01,"Primary Clinic #18","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","487",431,53,3,303,0,0,549.67,273.361109666667,161.5,224.9,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,121,177,184,5,0,465,0,"0","0",2,5,4,9,444,9,33,487,196,0,"Unavailable at UM",195,292,3,382,31,358,174,115,2,6,10,95,"2"
"79",2022-07-01,"Primary Clinic #19","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","796",749,45,2,88.5,50.5,0,1073.65,476.3055505,282.5,924.5,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,275,346,170,5,121,565,51,"0","2",3,18,5,26,742,26,26,794,266,0,"Unavailable at UM",426,362,4,633,44,581,242,255,8,7,28,212,"0"
"80",2022-07-01,"Primary Clinic #20","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"218.13",1,"342.93","697",670,24,3,119.9,26,0,587.3,479.194437583333,138,24,0,631.71,"Unavailable at UM","Unavailable at UM",2809.89,"Unavailable at UM",2809.89,2809.89,0,261,332,101,3,62,496,69,"0","0",1,20,10,23,646,23,25,694,257,0,"Unavailable at UM",348,342,6,499,23,465,154,180,4,0,13,163,"0"
"81",2022-08-01,"Primary Clinic #1","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1821",1605,194,22,445,0,0,1864.08,904.58332575,220.1,837.3,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,367,859,572,23,230,1384,76,"0","1",9,38,18,59,1663,59,96,1820,644,0,"Unavailable at UM",740,1073,16,1413,207,1295,470,489,16,19,25,428,"1"
"82",2022-08-01,"Primary Clinic #2","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1773",1578,186,9,491.81,0,208,846.68,686.74304725,0,311.05,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,313,782,656,22,12,1706,9,"0","1",1,5,13,15,1666,15,91,1772,761,0,"Unavailable at UM",794,976,4,1316,116,1201,498,519,9,19,68,423,"0"
"83",2022-08-01,"Primary Clinic #3","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1684",1501,174,9,177,136,48.75,1945.2,766.277769833333,289.75,945.5,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,236,783,645,20,183,2465,95,"0","0",5,31,19,31,1611,31,39,1682,740,0,"Unavailable at UM",743,916,4,1330,191,1248,518,496,13,22,59,401,"1"
"84",2022-08-01,"Primary Clinic #4","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1545",1434,104,7,436,138,1.44,522.7,738.111103166667,285.33,20,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,272,705,553,15,156,1067,144,"0","0",5,54,30,56,1392,56,89,1541,651,0,"Unavailable at UM",640,900,8,1207,158,1149,374,391,12,10,26,342,"1"
"85",2022-08-01,"Primary Clinic #5","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"243.28",1,"360.42","1186",1070,112,4,152,0,38.28,2213.9,530.020827916667,0,0,0,625.45,"Unavailable at UM","Unavailable at UM",2745.45,"Unavailable at UM",2745.45,2745.45,0,279,529,359,19,124,933,55,"0","0",5,20,15,26,1127,26,32,1185,434,0,"Unavailable at UM",593,588,1,866,128,816,324,276,7,8,22,239,"0"
