"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"53","August","Bristol",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,"N/A",1,"This is a combined total of 5.6 FTE for the organization of RN in population health supporting all locations together",453,376,68,9,184,460,0,552,0,0,184,0,368,552,0,552,0,0,184,0,117,213,46,0,22,149,4,0,NA,0,NA,201,184,164,NA,28,240,128,NA,NA,56,271,45,318,54,311,159,74,8,10,8,48
"54","August","Clinton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,641,576,65,0,184,552,0,552,0,184,368,0,368,552,0,552,0,0,368,0,218,290,67,1,15,363,21,1,NA,1,NA,175,192,360,NA,24,362,201,NA,NA,89,353,111,491,85,461,207,120,10,4,12,95
"55","August","Danbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1214,1081,133,0,516,404,0,772,368,0,368,0,516,404,0,772,368,0,368,0,367,592,119,3,64,314,30,4,NA,2,NA,667,652,359,NA,70,680,348,NA,NA,146,697,213,911,127,877,426,195,23,18,24,131
"56","August","Enfield",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,487,433,54,0,220,0,148,294,220,0,184,0,220,0,148,368,220,0,184,0,173,216,44,0,35,252,9,0,NA,0,NA,137,88,296,NA,49,230,173,NA,NA,85,326,19,315,70,302,153,52,11,2,9,30
"57","August","Groton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,730,657,73,0,368,184,184,552,184,0,184,0,368,184,184,552,184,0,184,0,217,342,97,1,76,332,42,1,NA,6,NA,200,167,434,NA,56,380,265,NA,NA,156,477,18,568,156,554,289,109,21,11,16,59
"58","August","Hartford",NA,3,4,1,0,0,2,2,2,1,"N/A",1899-12-31 01:01:00,2,2,NA,1,NA,146,137,9,0,1214,332,184,2392,1140,184,920,0,1214,1068,184,2392,1140,184,920,0,136,1,0,0,18,5,6,1,NA,0,NA,107,104,25,NA,8,30,17,NA,NA,12,124,1,135,2,129,94,15,NA,NA,NA,15
"59","August","Meriden",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2513,2278,230,5,1058,1730,368,2208,552,0,920,0,1242,1730,368,2466,552,0,920,0,983,1037,255,3,287,648,49,7,NA,14,NA,1273,1401,738,NA,139,1443,749,NA,NA,350,1681,213,1953,352,1810,980,485,58,35,40,351
"60","August","Middletown",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1917,1705,62,150,404,1104,0,1656,320,184,552,0,920,1288,0,1748,320,0,552,0,664,799,237,5,363,780,59,3,NA,8,NA,492,415,1121,NA,169,981,675,NA,NA,350,1228,100,1334,223,1241,636,223,23,15,23,162
"61","August","New Britain",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,3088,2847,240,1,994,1436,184,2944,920,332,1288,0,1692,1730,184,3312,1104,0,1288,0,1107,1305,430,6,243,739,81,5,NA,4,NA,1775,1856,850,NA,141,1777,925,NA,NA,539,2108,163,2396,520,2318,1247,581,53,39,62,427
"62","August","New London",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,1993,1812,179,2,884,1288,184,1436,424,0,552,0,884,1288,184,1804,424,0,736,0,625,937,248,2,246,665,39,4,NA,7,NA,851,870,817,NA,125,1086,666,NA,NA,318,1340,130,1614,399,1477,769,244,30,22,33,158
"63","August","Norwalk",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,662,581,81,0,184,110,184,552,184,0,184,0,368,294,184,662,184,0,184,0,237,271,72,1,94,142,10,1,NA,0,NA,334,342,190,NA,49,360,219,NA,NA,102,392,80,493,82,472,241,80,6,5,3,66
"64","August","Stamford",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,1128,1041,87,0,662,772,0,1214,690,0,368,0,736,772,0,1472,690,0,368,0,415,497,128,2,158,251,45,3,NA,3,NA,581,588,347,NA,106,691,332,NA,NA,143,651,219,919,164,914,436,205,22,11,19,153
"65","August","Waterbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,920,829,91,0,368,404,184,920,368,0,368,0,442,404,184,920,368,0,368,0,345,413,71,0,135,273,11,1,NA,3,NA,406,449,299,NA,81,511,293,NA,NA,105,684,33,543,141,492,280,133,14,7,19,95
"66","September","Bristol",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,"N/A",1,"This is a combined total of 5.6 FTE for the organization of RN in population health supporting all locations together",502,418,75,9,168,420,0,504,0,0,168,0,336,504,0,504,0,0,168,0,144,228,47,0,34,161,5,0,NA,0,NA,218,200,179,NA,39,254,156,NA,NA,67,302,45,356,69,347,186,111,17,3,4,86
"67","September","Clinton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,638,596,42,0,168,504,0,504,0,168,336,0,336,504,0,504,0,0,336,0,235,297,64,0,15,346,24,1,NA,4,NA,206,228,337,NA,31,384,209,NA,NA,96,348,134,479,64,444,184,93,3,4,10,76
"68","September","Danbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1125,1014,111,0,470,370,0,706,336,0,336,0,470,370,0,706,336,0,336,0,335,563,112,4,72,300,35,5,NA,6,NA,596,558,389,NA,67,645,325,NA,NA,143,655,184,838,132,792,396,162,15,5,23,118
"69","September","Enfield",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,403,352,51,0,202,0,134,268,202,0,168,0,202,0,134,336,202,0,168,0,135,190,27,0,24,209,9,1,NA,0,NA,109,62,246,NA,44,184,144,NA,NA,73,260,11,254,68,235,122,29,3,2,3,21
"70","September","Groton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,671,629,42,0,336,168,168,504,168,0,168,0,336,168,168,504,168,0,168,0,217,314,97,1,66,315,39,3,NA,6,NA,200,158,416,NA,55,366,253,NA,NA,158,430,21,551,160,534,266,101,12,9,16,64
"71","September","Hartford",NA,3,4,1,0,0,2,2,2,1,"N/A",1899-12-31 01:01:00,2,2,NA,1,NA,130,122,8,0,1108,302,168,2184,1042,168,840,0,1108,974,168,2184,1042,168,840,0,117,5,0,0,17,10,6,0,NA,0,NA,89,86,28,NA,8,18,14,NA,NA,11,108,3,115,3,113,81,10,0,0,0,10
"72","September","Meriden",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2818,2595,222,1,966,1580,336,2016,504,0,840,0,1134,1580,336,2252,504,0,840,0,1073,1240,278,4,335,740,62,6,NA,14,NA,1438,1573,874,NA,148,1604,901,NA,NA,415,1895,245,2223,453,2137,1166,583,53,34,53,441
"73","September","Middletown",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1766,1615,73,78,370,1008,0,1512,320,168,504,0,840,1176,0,1596,320,0,504,0,626,755,230,4,350,729,56,3,NA,9,NA,468,385,1079,NA,151,904,637,NA,NA,345,1151,87,1323,217,1239,642,238,31,15,30,160
"74","September","New Britain",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2682,2462,218,2,908,1310,168,2688,840,302,1176,0,1546,1580,168,3024,1008,0,1176,0,949,1128,381,6,219,615,65,3,NA,9,NA,1551,1582,748,NA,132,1497,809,NA,NA,461,1813,147,2167,495,2097,1107,463,60,37,55,310
"75","September","New London",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,1868,1708,155,5,806,1008,168,1310,386,0,504,0,806,1176,168,1646,386,0,672,0,599,860,245,4,248,593,26,7,NA,9,NA,825,813,780,NA,115,1015,639,NA,NA,291,1257,131,1528,366,1428,727,259,39,18,34,168
"76","September","Norwalk",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,626,557,69,0,168,100,168,504,168,0,168,0,336,268,168,604,168,0,168,0,228,262,66,2,91,128,12,3,NA,1,NA,322,318,187,NA,52,351,203,NA,NA,85,377,89,480,79,464,227,79,9,3,15,53
"77","September","Stamford",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,1040,960,80,0,604,706,0,1108,630,0,336,0,672,706,0,1344,630,0,336,0,369,480,110,1,152,232,42,1,NA,2,NA,531,547,340,NA,73,635,312,NA,NA,148,573,211,859,169,836,417,169,14,11,11,135
"78","September","Waterbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,881,809,72,0,336,370,168,840,336,0,336,0,404,370,168,840,336,0,336,0,345,391,71,2,125,272,6,0,NA,5,NA,401,446,284,NA,79,490,293,NA,NA,124,643,37,555,130,529,284,143,17,5,11,110
